,상호명,상권업종소분류코드,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,위도,경도
57760,어거스트치킨,Q05A08,후라이드/양념치킨,서울특별시,구로구,신도림동,신도림동,서울특별시 구로구 경인로 661,37.509034883315294,126.886965798897
57779,바니양념치킨,Q05A08,후라이드/양념치킨,서울특별시,중랑구,신내1동,신내동,서울특별시 중랑구 신내로 126,37.6101815655706,127.09639941210399
57789,BHC치킨,Q05A08,후라이드/양념치킨,서울특별시,강서구,화곡1동,화곡동,서울특별시 강서구 화곡로24길 53,37.5387615558594,126.83937332211
57792,치킨마루,Q05A08,후라이드/양념치킨,서울특별시,강서구,가양1동,마곡동,서울특별시 강서구 마곡서1로 100,37.5654243062359,126.819501927605
57801,광개토치킨,Q05A08,후라이드/양념치킨,서울특별시,양천구,목3동,목동,서울특별시 양천구 목동중앙남로 100,37.542773686433,126.86371945016501
57810,60계치킨홍제,Q05A08,후라이드/양념치킨,서울특별시,서대문구,홍제3동,홍제동,서울특별시 서대문구 세무서길 73,37.5911712413649,126.946617503579
57817,티바두마리치킨,Q05A08,후라이드/양념치킨,서울특별시,성동구,행당2동,행당동,서울특별시 성동구 행당로 76,37.55623822076179,127.027512774894
57845,페리카나치킨,Q05A08,후라이드/양념치킨,서울특별시,동대문구,전농2동,전농동,서울특별시 동대문구 사가정로13길 4,37.578066739911996,127.05815897453002
58006,페리카나,Q05A08,후라이드/양념치킨,서울특별시,송파구,잠실7동,잠실동,서울특별시 송파구 올림픽로4길 17,37.5084357864704,127.076702140859
58352,치킨마루월계롯데캐슬점,Q05A08,후라이드/양념치킨,서울특별시,노원구,월계2동,월계동,서울특별시 노원구 월계로45길 21,37.6256135102305,127.05126065584999
58423,치키치키약수3동점,Q05A08,후라이드/양념치킨,서울특별시,중구,약수동,신당동,서울특별시 중구 동호로 175,37.5538492724012,127.01109919790701
58451,파핑스치킨,Q05A08,후라이드/양념치킨,서울특별시,송파구,가락본동,가락동,서울특별시 송파구 송파대로28길 27,37.494881541292294,127.120080194832
58576,옛날통닭,Q05A08,후라이드/양념치킨,서울특별시,도봉구,도봉1동,도봉동,서울특별시 도봉구 도봉산3길 47,37.6851840175855,127.043847171989
58771,치킨밸리,Q05A08,후라이드/양념치킨,서울특별시,노원구,상계1동,상계동,서울특별시 노원구 동일로 1701,37.680299121591396,127.05486133439399
58783,하이디식당,Q05A08,후라이드/양념치킨,서울특별시,송파구,풍납1동,풍납동,서울특별시 송파구 풍성로25길 23-1,37.535515069636205,127.120723169699
